id,case_type,system,instruction,input,output,vertical,views,likes,comments,hours_since_publish,views_per_hour,retention_pct,sentimiento_positivo_pct,sentimiento_neutral_pct,sentimiento_negativo_pct,ocr_relevance_pct,cta_visible,composition_score,hook_type,tone,policy_risk,source_inspiration
27,metricas,"Eres un analista senior de marketing, contenido audiovisual y pauta digital. Responde siempre en español claro, profesional y accionable. No uses JSON. Usa secciones breves: Resumen, Hallazgos, Riesgos, Recomendaciones y Conclusión.","Genera una recomendación de marketing en español para decidir si este video debe pautarse, mejorarse o descartarse.","Analiza un video de YouTube para pauta. Vertical: emprendimiento local. Título: campaña con enfoque tutorial rápido. Descripción: contenido de tono aspiracional. Views: 78000. Likes: 5787. Comentarios: 1319. Horas desde publicación: 12. Views por hora: 6500.0. Retención: 46%. Sentimiento positivo: 65%. Sentimiento neutral: 8%. Sentimiento negativo: 27%. OCR text: 'Nueva colección disponible'. Relevancia OCR: 37%. CTA visible: sí. Composición visual: 73/100. Riesgo de políticas: bajo. Transcripción: usa una historia breve para mostrar el problema del usuario. Palabras frecuentes del público: bonito, práctico, confianza, garantía.","### Resumen

El contenido para **emprendimiento local** se considera **viable para una prueba de pauta**. El sentimiento dominante es **positivo**, con una composición de 73/100 y una retención de 46%.

### Hallazgos principales

- La tracción temprana es fuerte y puede justificar una prueba rápida de inversión.
- La retención es moderada; hay interés, pero el ritmo o el hook pueden reforzarse.
- La relevancia del texto en pantalla es baja; conviene usar copy visual más claro.
- La composición es funcional, aunque todavía puede ordenarse mejor el foco visual.
- El CTA visible ayuda a cerrar la intención.
- El hook de tipo **tutorial rápido** puede funcionar si comunica el beneficio en los primeros segundos.

### Riesgos

- Riesgo de políticas: **bajo**.
- Sentimiento negativo: 27%, lo que debe revisarse si supera el nivel esperado para la categoría.
- Si el mensaje principal no aparece rápido, la pieza puede perder rendimiento en móvil.

### Recomendaciones

- Reforzar el beneficio principal en el primer tercio del video.
- Mantener el CTA visible durante los segundos de mayor atención.
- Usar el texto en pantalla para resumir promesa, prueba o urgencia, no como elemento decorativo.
- Probar una variante con hook más directo y menor carga visual.
- Si se pauta, iniciar con presupuesto controlado y comparar retención, CTR y comentarios negativos.

### Conclusión

La pieza puede avanzar si se corrigen los puntos débiles detectados. La decisión final debe depender de si el objetivo es alcance, interacción o conversión directa.",emprendimiento local,78000,5787,1319,12,6500.0,46,65,8,27,37,sí,73,tutorial rápido,aspiracional,bajo,"Curado/sintético para SFT; inspirado en datasets públicos de prompts multilingües y texto social en español, no copia filas textuales."
28,composicion_visual,"Eres un analista senior de marketing, contenido audiovisual y pauta digital. Responde siempre en español claro, profesional y accionable. No uses JSON. Usa secciones breves: Resumen, Hallazgos, Riesgos, Recomendaciones y Conclusión.","Genera una recomendación de marketing en español para decidir si este video debe pautarse, mejorarse o descartarse.","Analiza un video de YouTube para pauta. Vertical: servicio B2B. Título: campaña con enfoque comparación. Descripción: contenido de tono educativo. Views: 8500. Likes: 624. Comentarios: 69. Horas desde publicación: 6. Views por hora: 1416.7. Retención: 46%. Sentimiento positivo: 56%. Sentimiento neutral: 8%. Sentimiento negativo: 36%. OCR text: 'Envío gratis por tiempo limitado'. Relevancia OCR: 24%. CTA visible: no. Composición visual: 58/100. Riesgo de políticas: bajo. Transcripción: explica características, aunque falta una promesa más concreta. Palabras frecuentes del público: interesante, dudas, información, tutorial.","### Resumen

El contenido para **servicio B2B** se considera **viable con ajustes antes de escalar**. El sentimiento dominante es **positivo**, con una composición de 58/100 y una retención de 46%.

### Hallazgos principales

- La tracción temprana es fuerte y puede justificar una prueba rápida de inversión.
- La retención es moderada; hay interés, pero el ritmo o el hook pueden reforzarse.
- La relevancia del texto en pantalla es baja; conviene usar copy visual más claro.
- La composición es funcional, aunque todavía puede ordenarse mejor el foco visual.
- La falta de CTA visible reduce claridad de acción.
- El hook de tipo **comparación** puede funcionar si comunica el beneficio en los primeros segundos.

### Riesgos

- Riesgo de políticas: **bajo**.
- Sentimiento negativo: 36%, lo que debe revisarse si supera el nivel esperado para la categoría.
- Si el mensaje principal no aparece rápido, la pieza puede perder rendimiento en móvil.

### Recomendaciones

- Reforzar el beneficio principal en el primer tercio del video.
- Mantener el CTA visible durante los segundos de mayor atención.
- Usar el texto en pantalla para resumir promesa, prueba o urgencia, no como elemento decorativo.
- Probar una variante con hook más directo y menor carga visual.
- Si se pauta, iniciar con presupuesto controlado y comparar retención, CTR y comentarios negativos.

### Conclusión

La pieza puede avanzar si se corrigen los puntos débiles detectados. La decisión final debe depender de si el objetivo es alcance, interacción o conversión directa.",servicio B2B,8500,624,69,6,1416.7,46,56,8,36,24,no,58,comparación,educativo,bajo,"Curado/sintético para SFT; inspirado en datasets públicos de prompts multilingües y texto social en español, no copia filas textuales."
29,guion,"Eres un analista senior de marketing, contenido audiovisual y pauta digital. Responde siempre en español claro, profesional y accionable. No uses JSON. Usa secciones breves: Resumen, Hallazgos, Riesgos, Recomendaciones y Conclusión.","Genera una recomendación de marketing en español para decidir si este video debe pautarse, mejorarse o descartarse.","Analiza un video de YouTube para pauta. Vertical: evento cultural. Título: campaña con enfoque antes y después. Descripción: contenido de tono emocional. Views: 8500. Likes: 659. Comentarios: 66. Horas desde publicación: 120. Views por hora: 70.8. Retención: 24%. Sentimiento positivo: 34%. Sentimiento neutral: 48%. Sentimiento negativo: 18%. OCR text: 'Envío gratis por tiempo limitado'. Relevancia OCR: 84%. CTA visible: sí. Composición visual: 88/100. Riesgo de políticas: bajo. Transcripción: presenta un beneficio claro pero tarda en explicar la oferta. Palabras frecuentes del público: bonito, práctico, confianza, garantía.","### Resumen

El contenido para **evento cultural** se considera **viable con ajustes antes de escalar**. El sentimiento dominante es **neutral**, con una composición de 88/100 y una retención de 24%.

### Hallazgos principales

- La tracción inicial es limitada; antes de pautar conviene mejorar el contenido o segmentación.
- La retención es baja; el principal ajuste debe estar en los primeros segundos.
- El texto en pantalla acompaña bien el mensaje y puede reforzar la conversión.
- La composición visual es sólida: favorece atención, balance y lectura rápida.
- El CTA visible ayuda a cerrar la intención.
- El hook de tipo **antes y después** puede funcionar si comunica el beneficio en los primeros segundos.

### Riesgos

- Riesgo de políticas: **bajo**.
- Sentimiento negativo: 18%, lo que debe revisarse si supera el nivel esperado para la categoría.
- Si el mensaje principal no aparece rápido, la pieza puede perder rendimiento en móvil.

### Recomendaciones

- Reforzar el beneficio principal en el primer tercio del video.
- Mantener el CTA visible durante los segundos de mayor atención.
- Usar el texto en pantalla para resumir promesa, prueba o urgencia, no como elemento decorativo.
- Probar una variante con hook más directo y menor carga visual.
- Si se pauta, iniciar con presupuesto controlado y comparar retención, CTR y comentarios negativos.

### Conclusión

La pieza puede avanzar si se corrigen los puntos débiles detectados. La decisión final debe depender de si el objetivo es alcance, interacción o conversión directa.",evento cultural,8500,659,66,120,70.8,24,34,48,18,84,sí,88,antes y después,emocional,bajo,"Curado/sintético para SFT; inspirado en datasets públicos de prompts multilingües y texto social en español, no copia filas textuales."
30,metricas,"Eres un analista senior de marketing, contenido audiovisual y pauta digital. Responde siempre en español claro, profesional y accionable. No uses JSON. Usa secciones breves: Resumen, Hallazgos, Riesgos, Recomendaciones y Conclusión.","Genera una recomendación de marketing en español para decidir si este video debe pautarse, mejorarse o descartarse.","Analiza un video de YouTube para pauta. Vertical: ONG. Título: campaña con enfoque problema-solución. Descripción: contenido de tono corporativo. Views: 3200. Likes: 186. Comentarios: 71. Horas desde publicación: 48. Views por hora: 66.7. Retención: 61%. Sentimiento positivo: 34%. Sentimiento neutral: 55%. Sentimiento negativo: 11%. OCR text: 'Envío gratis por tiempo limitado'. Relevancia OCR: 48%. CTA visible: sí. Composición visual: 66/100. Riesgo de políticas: medio. Transcripción: explica características, aunque falta una promesa más concreta. Palabras frecuentes del público: rápido, útil, recomendado, fácil.","### Resumen

El contenido para **ONG** se considera **viable con ajustes antes de escalar**. El sentimiento dominante es **neutral**, con una composición de 66/100 y una retención de 61%.

### Hallazgos principales

- La tracción inicial es limitada; antes de pautar conviene mejorar el contenido o segmentación.
- La retención es saludable y sugiere que el contenido logra sostener atención.
- El texto en pantalla aporta parcialmente, pero debería ser más directo y persistente.
- La composición es funcional, aunque todavía puede ordenarse mejor el foco visual.
- El CTA visible ayuda a cerrar la intención.
- El hook de tipo **problema-solución** puede funcionar si comunica el beneficio en los primeros segundos.

### Riesgos

- Riesgo de políticas: **medio**.
- Sentimiento negativo: 11%, lo que debe revisarse si supera el nivel esperado para la categoría.
- Si el mensaje principal no aparece rápido, la pieza puede perder rendimiento en móvil.

### Recomendaciones

- Reforzar el beneficio principal en el primer tercio del video.
- Mantener el CTA visible durante los segundos de mayor atención.
- Usar el texto en pantalla para resumir promesa, prueba o urgencia, no como elemento decorativo.
- Probar una variante con hook más directo y menor carga visual.
- Si se pauta, iniciar con presupuesto controlado y comparar retención, CTR y comentarios negativos.

### Conclusión

La pieza puede avanzar si se corrigen los puntos débiles detectados. La decisión final debe depender de si el objetivo es alcance, interacción o conversión directa.",ONG,3200,186,71,48,66.7,61,34,55,11,48,sí,66,problema-solución,corporativo,medio,"Curado/sintético para SFT; inspirado en datasets públicos de prompts multilingües y texto social en español, no copia filas textuales."
31,composicion_visual,"Eres un analista senior de marketing, contenido audiovisual y pauta digital. Responde siempre en español claro, profesional y accionable. No uses JSON. Usa secciones breves: Resumen, Hallazgos, Riesgos, Recomendaciones y Conclusión.","Genera una recomendación de marketing en español para decidir si este video debe pautarse, mejorarse o descartarse.","Analiza un video de YouTube para pauta. Vertical: agencia de viajes. Título: campaña con enfoque beneficio inmediato. Descripción: contenido de tono urgente. Views: 250000. Likes: 4942. Comentarios: 1745. Horas desde publicación: 12. Views por hora: 20833.3. Retención: 72%. Sentimiento positivo: 56%. Sentimiento neutral: 8%. Sentimiento negativo: 36%. OCR text: 'Nueva colección disponible'. Relevancia OCR: 84%. CTA visible: no. Composición visual: 51/100. Riesgo de políticas: alto. Transcripción: usa testimonio y prueba social para generar confianza. Palabras frecuentes del público: interesante, dudas, información, tutorial.","### Resumen

El contenido para **agencia de viajes** se considera **no recomendable para pauta hasta corregir riesgos**. El sentimiento dominante es **positivo**, con una composición de 51/100 y una retención de 72%.

### Hallazgos principales

- La tracción temprana es fuerte y puede justificar una prueba rápida de inversión.
- La retención es saludable y sugiere que el contenido logra sostener atención.
- El texto en pantalla acompaña bien el mensaje y puede reforzar la conversión.
- La composición visual es débil y puede dispersar la atención del usuario.
- La falta de CTA visible reduce claridad de acción.
- El hook de tipo **beneficio inmediato** puede funcionar si comunica el beneficio en los primeros segundos.

### Riesgos

- Riesgo de políticas: **alto**.
- Sentimiento negativo: 36%, lo que debe revisarse si supera el nivel esperado para la categoría.
- Si el mensaje principal no aparece rápido, la pieza puede perder rendimiento en móvil.

### Recomendaciones

- Reforzar el beneficio principal en el primer tercio del video.
- Mantener el CTA visible durante los segundos de mayor atención.
- Usar el texto en pantalla para resumir promesa, prueba o urgencia, no como elemento decorativo.
- Probar una variante con hook más directo y menor carga visual.
- Si se pauta, iniciar con presupuesto controlado y comparar retención, CTR y comentarios negativos.

### Conclusión

La pieza puede avanzar si se corrigen los puntos débiles detectados. La decisión final debe depender de si el objetivo es alcance, interacción o conversión directa.",agencia de viajes,250000,4942,1745,12,20833.3,72,56,8,36,84,no,51,beneficio inmediato,urgente,alto,"Curado/sintético para SFT; inspirado en datasets públicos de prompts multilingües y texto social en español, no copia filas textuales."
32,sentimiento,"Eres un analista senior de marketing, contenido audiovisual y pauta digital. Responde siempre en español claro, profesional y accionable. No uses JSON. Usa secciones breves: Resumen, Hallazgos, Riesgos, Recomendaciones y Conclusión.","Genera una recomendación de marketing en español para decidir si este video debe pautarse, mejorarse o descartarse.","Analiza un video de YouTube para pauta. Vertical: emprendimiento local. Título: campaña con enfoque antes y después. Descripción: contenido de tono urgente. Views: 8500. Likes: 728. Comentarios: 105. Horas desde publicación: 72. Views por hora: 118.1. Retención: 38%. Sentimiento positivo: 46%. Sentimiento neutral: 18%. Sentimiento negativo: 36%. OCR text: 'Más de 500 clientes satisfechos'. Relevancia OCR: 72%. CTA visible: no. Composición visual: 88/100. Riesgo de políticas: bajo. Transcripción: presenta un beneficio claro pero tarda en explicar la oferta. Palabras frecuentes del público: rápido, útil, recomendado, fácil.","### Resumen

El contenido para **emprendimiento local** se considera **viable para una prueba de pauta**. El sentimiento dominante es **positivo**, con una composición de 88/100 y una retención de 38%.

### Hallazgos principales

- La tracción inicial es limitada; antes de pautar conviene mejorar el contenido o segmentación.
- La retención es moderada; hay interés, pero el ritmo o el hook pueden reforzarse.
- El texto en pantalla acompaña bien el mensaje y puede reforzar la conversión.
- La composición visual es sólida: favorece atención, balance y lectura rápida.
- La falta de CTA visible reduce claridad de acción.
- El hook de tipo **antes y después** puede funcionar si comunica el beneficio en los primeros segundos.

### Riesgos

- Riesgo de políticas: **bajo**.
- Sentimiento negativo: 36%, lo que debe revisarse si supera el nivel esperado para la categoría.
- Si el mensaje principal no aparece rápido, la pieza puede perder rendimiento en móvil.

### Recomendaciones

- Reforzar el beneficio principal en el primer tercio del video.
- Mantener el CTA visible durante los segundos de mayor atención.
- Usar el texto en pantalla para resumir promesa, prueba o urgencia, no como elemento decorativo.
- Probar una variante con hook más directo y menor carga visual.
- Si se pauta, iniciar con presupuesto controlado y comparar retención, CTR y comentarios negativos.

### Conclusión

La pieza puede avanzar si se corrigen los puntos débiles detectados. La decisión final debe depender de si el objetivo es alcance, interacción o conversión directa.",emprendimiento local,8500,728,105,72,118.1,38,46,18,36,72,no,88,antes y después,urgente,bajo,"Curado/sintético para SFT; inspirado en datasets públicos de prompts multilingües y texto social en español, no copia filas textuales."
33,composicion_visual,"Eres un analista senior de marketing, contenido audiovisual y pauta digital. Responde siempre en español claro, profesional y accionable. No uses JSON. Usa secciones breves: Resumen, Hallazgos, Riesgos, Recomendaciones y Conclusión.","Genera una recomendación de marketing en español para decidir si este video debe pautarse, mejorarse o descartarse.","Analiza un video de YouTube para pauta. Vertical: gimnasio. Título: campaña con enfoque historia personal. Descripción: contenido de tono urgente. Views: 78000. Likes: 7787. Comentarios: 228. Horas desde publicación: 24. Views por hora: 3250.0. Retención: 38%. Sentimiento positivo: 34%. Sentimiento neutral: 55%. Sentimiento negativo: 11%. OCR text: 'Compra hoy con descuento limitado'. Relevancia OCR: 72%. CTA visible: no. Composición visual: 66/100. Riesgo de políticas: bajo. Transcripción: explica características, aunque falta una promesa más concreta. Palabras frecuentes del público: rápido, útil, recomendado, fácil.","### Resumen

El contenido para **gimnasio** se considera **viable con ajustes antes de escalar**. El sentimiento dominante es **neutral**, con una composición de 66/100 y una retención de 38%.

### Hallazgos principales

- La tracción temprana es fuerte y puede justificar una prueba rápida de inversión.
- La retención es moderada; hay interés, pero el ritmo o el hook pueden reforzarse.
- El texto en pantalla acompaña bien el mensaje y puede reforzar la conversión.
- La composición es funcional, aunque todavía puede ordenarse mejor el foco visual.
- La falta de CTA visible reduce claridad de acción.
- El hook de tipo **historia personal** puede funcionar si comunica el beneficio en los primeros segundos.

### Riesgos

- Riesgo de políticas: **bajo**.
- Sentimiento negativo: 11%, lo que debe revisarse si supera el nivel esperado para la categoría.
- Si el mensaje principal no aparece rápido, la pieza puede perder rendimiento en móvil.

### Recomendaciones

- Reforzar el beneficio principal en el primer tercio del video.
- Mantener el CTA visible durante los segundos de mayor atención.
- Usar el texto en pantalla para resumir promesa, prueba o urgencia, no como elemento decorativo.
- Probar una variante con hook más directo y menor carga visual.
- Si se pauta, iniciar con presupuesto controlado y comparar retención, CTR y comentarios negativos.

### Conclusión

La pieza puede avanzar si se corrigen los puntos débiles detectados. La decisión final debe depender de si el objetivo es alcance, interacción o conversión directa.",gimnasio,78000,7787,228,24,3250.0,38,34,55,11,72,no,66,historia personal,urgente,bajo,"Curado/sintético para SFT; inspirado en datasets públicos de prompts multilingües y texto social en español, no copia filas textuales."
34,composicion_visual,"Eres un analista senior de marketing, contenido audiovisual y pauta digital. Responde siempre en español claro, profesional y accionable. No uses JSON. Usa secciones breves: Resumen, Hallazgos, Riesgos, Recomendaciones y Conclusión.","Genera una recomendación de marketing en español para decidir si este video debe pautarse, mejorarse o descartarse.","Analiza un video de YouTube para pauta. Vertical: clínica dental. Título: campaña con enfoque historia personal. Descripción: contenido de tono aspiracional. Views: 1200. Likes: 115. Comentarios: 23. Horas desde publicación: 240. Views por hora: 5.0. Retención: 72%. Sentimiento positivo: 46%. Sentimiento neutral: 27%. Sentimiento negativo: 27%. OCR text: 'Envío gratis por tiempo limitado'. Relevancia OCR: 37%. CTA visible: sí. Composición visual: 42/100. Riesgo de políticas: medio. Transcripción: explica características, aunque falta una promesa más concreta. Palabras frecuentes del público: caro, demora, confuso, reclamo.","### Resumen

El contenido para **clínica dental** se considera **viable con ajustes antes de escalar**. El sentimiento dominante es **positivo**, con una composición de 42/100 y una retención de 72%.

### Hallazgos principales

- La tracción inicial es limitada; antes de pautar conviene mejorar el contenido o segmentación.
- La retención es saludable y sugiere que el contenido logra sostener atención.
- La relevancia del texto en pantalla es baja; conviene usar copy visual más claro.
- La composición visual es débil y puede dispersar la atención del usuario.
- El CTA visible ayuda a cerrar la intención.
- El hook de tipo **historia personal** puede funcionar si comunica el beneficio en los primeros segundos.

### Riesgos

- Riesgo de políticas: **medio**.
- Sentimiento negativo: 27%, lo que debe revisarse si supera el nivel esperado para la categoría.
- Si el mensaje principal no aparece rápido, la pieza puede perder rendimiento en móvil.

### Recomendaciones

- Reforzar el beneficio principal en el primer tercio del video.
- Mantener el CTA visible durante los segundos de mayor atención.
- Usar el texto en pantalla para resumir promesa, prueba o urgencia, no como elemento decorativo.
- Probar una variante con hook más directo y menor carga visual.
- Si se pauta, iniciar con presupuesto controlado y comparar retención, CTR y comentarios negativos.

### Conclusión

La pieza puede avanzar si se corrigen los puntos débiles detectados. La decisión final debe depender de si el objetivo es alcance, interacción o conversión directa.",clínica dental,1200,115,23,240,5.0,72,46,27,27,37,sí,42,historia personal,aspiracional,medio,"Curado/sintético para SFT; inspirado en datasets públicos de prompts multilingües y texto social en español, no copia filas textuales."
35,composicion_visual,"Eres un analista senior de marketing, contenido audiovisual y pauta digital. Responde siempre en español claro, profesional y accionable. No uses JSON. Usa secciones breves: Resumen, Hallazgos, Riesgos, Recomendaciones y Conclusión.","Genera una recomendación de marketing en español para decidir si este video debe pautarse, mejorarse o descartarse.","Analiza un video de YouTube para pauta. Vertical: app financiera. Título: campaña con enfoque historia personal. Descripción: contenido de tono aspiracional. Views: 1200. Likes: 62. Comentarios: 20. Horas desde publicación: 240. Views por hora: 5.0. Retención: 31%. Sentimiento positivo: 34%. Sentimiento neutral: 30%. Sentimiento negativo: 36%. OCR text: 'Nueva colección disponible'. Relevancia OCR: 48%. CTA visible: sí. Composición visual: 88/100. Riesgo de políticas: bajo. Transcripción: presenta un beneficio claro pero tarda en explicar la oferta. Palabras frecuentes del público: rápido, útil, recomendado, fácil.","### Resumen

El contenido para **app financiera** se considera **viable con ajustes antes de escalar**. El sentimiento dominante es **negativo**, con una composición de 88/100 y una retención de 31%.

### Hallazgos principales

- La tracción inicial es limitada; antes de pautar conviene mejorar el contenido o segmentación.
- La retención es moderada; hay interés, pero el ritmo o el hook pueden reforzarse.
- El texto en pantalla aporta parcialmente, pero debería ser más directo y persistente.
- La composición visual es sólida: favorece atención, balance y lectura rápida.
- El CTA visible ayuda a cerrar la intención.
- El hook de tipo **historia personal** puede funcionar si comunica el beneficio en los primeros segundos.

### Riesgos

- Riesgo de políticas: **bajo**.
- Sentimiento negativo: 36%, lo que debe revisarse si supera el nivel esperado para la categoría.
- Si el mensaje principal no aparece rápido, la pieza puede perder rendimiento en móvil.

### Recomendaciones

- Reforzar el beneficio principal en el primer tercio del video.
- Mantener el CTA visible durante los segundos de mayor atención.
- Usar el texto en pantalla para resumir promesa, prueba o urgencia, no como elemento decorativo.
- Probar una variante con hook más directo y menor carga visual.
- Si se pauta, iniciar con presupuesto controlado y comparar retención, CTR y comentarios negativos.

### Conclusión

La pieza puede avanzar si se corrigen los puntos débiles detectados. La decisión final debe depender de si el objetivo es alcance, interacción o conversión directa.",app financiera,1200,62,20,240,5.0,31,34,30,36,48,sí,88,historia personal,aspiracional,bajo,"Curado/sintético para SFT; inspirado en datasets públicos de prompts multilingües y texto social en español, no copia filas textuales."
36,recomendacion_final,"Eres un analista senior de marketing, contenido audiovisual y pauta digital. Responde siempre en español claro, profesional y accionable. No uses JSON. Usa secciones breves: Resumen, Hallazgos, Riesgos, Recomendaciones y Conclusión.","Genera una recomendación de marketing en español para decidir si este video debe pautarse, mejorarse o descartarse.","Analiza un video de YouTube para pauta. Vertical: curso online. Título: campaña con enfoque historia personal. Descripción: contenido de tono urgente. Views: 1200. Likes: 47. Comentarios: 10. Horas desde publicación: 720. Views por hora: 1.7. Retención: 53%. Sentimiento positivo: 58%. Sentimiento neutral: 24%. Sentimiento negativo: 18%. OCR text: 'Compra hoy con descuento limitado'. Relevancia OCR: 84%. CTA visible: sí. Composición visual: 58/100. Riesgo de políticas: medio. Transcripción: explica características, aunque falta una promesa más concreta. Palabras frecuentes del público: interesante, dudas, información, tutorial.","### Resumen

El contenido para **curso online** se considera **viable con ajustes antes de escalar**. El sentimiento dominante es **positivo**, con una composición de 58/100 y una retención de 53%.

### Hallazgos principales

- La tracción inicial es limitada; antes de pautar conviene mejorar el contenido o segmentación.
- La retención es saludable y sugiere que el contenido logra sostener atención.
- El texto en pantalla acompaña bien el mensaje y puede reforzar la conversión.
- La composición es funcional, aunque todavía puede ordenarse mejor el foco visual.
- El CTA visible ayuda a cerrar la intención.
- El hook de tipo **historia personal** puede funcionar si comunica el beneficio en los primeros segundos.

### Riesgos

- Riesgo de políticas: **medio**.
- Sentimiento negativo: 18%, lo que debe revisarse si supera el nivel esperado para la categoría.
- Si el mensaje principal no aparece rápido, la pieza puede perder rendimiento en móvil.

### Recomendaciones

- Reforzar el beneficio principal en el primer tercio del video.
- Mantener el CTA visible durante los segundos de mayor atención.
- Usar el texto en pantalla para resumir promesa, prueba o urgencia, no como elemento decorativo.
- Probar una variante con hook más directo y menor carga visual.
- Si se pauta, iniciar con presupuesto controlado y comparar retención, CTR y comentarios negativos.

### Conclusión

La pieza puede avanzar si se corrigen los puntos débiles detectados. La decisión final debe depender de si el objetivo es alcance, interacción o conversión directa.",curso online,1200,47,10,720,1.7,53,58,24,18,84,sí,58,historia personal,urgente,medio,"Curado/sintético para SFT; inspirado en datasets públicos de prompts multilingües y texto social en español, no copia filas textuales."
37,metricas,"Eres un analista senior de marketing, contenido audiovisual y pauta digital. Responde siempre en español claro, profesional y accionable. No uses JSON. Usa secciones breves: Resumen, Hallazgos, Riesgos, Recomendaciones y Conclusión.","Genera una recomendación de marketing en español para decidir si este video debe pautarse, mejorarse o descartarse.","Analiza un video de YouTube para pauta. Vertical: gimnasio. Título: campaña con enfoque testimonio. Descripción: contenido de tono educativo. Views: 15000. Likes: 1151. Comentarios: 296. Horas desde publicación: 6. Views por hora: 2500.0. Retención: 18%. Sentimiento positivo: 22%. Sentimiento neutral: 42%. Sentimiento negativo: 36%. OCR text: 'Envío gratis por tiempo limitado'. Relevancia OCR: 24%. CTA visible: sí. Composición visual: 51/100. Riesgo de políticas: bajo. Transcripción: usa testimonio y prueba social para generar confianza. Palabras frecuentes del público: bonito, práctico, confianza, garantía.","### Resumen

El contenido para **gimnasio** se considera **viable con ajustes antes de escalar**. El sentimiento dominante es **neutral**, con una composición de 51/100 y una retención de 18%.

### Hallazgos principales

- La tracción temprana es fuerte y puede justificar una prueba rápida de inversión.
- La retención es baja; el principal ajuste debe estar en los primeros segundos.
- La relevancia del texto en pantalla es baja; conviene usar copy visual más claro.
- La composición visual es débil y puede dispersar la atención del usuario.
- El CTA visible ayuda a cerrar la intención.
- El hook de tipo **testimonio** puede funcionar si comunica el beneficio en los primeros segundos.

### Riesgos

- Riesgo de políticas: **bajo**.
- Sentimiento negativo: 36%, lo que debe revisarse si supera el nivel esperado para la categoría.
- Si el mensaje principal no aparece rápido, la pieza puede perder rendimiento en móvil.

### Recomendaciones

- Reforzar el beneficio principal en el primer tercio del video.
- Mantener el CTA visible durante los segundos de mayor atención.
- Usar el texto en pantalla para resumir promesa, prueba o urgencia, no como elemento decorativo.
- Probar una variante con hook más directo y menor carga visual.
- Si se pauta, iniciar con presupuesto controlado y comparar retención, CTR y comentarios negativos.

### Conclusión

La pieza puede avanzar si se corrigen los puntos débiles detectados. La decisión final debe depender de si el objetivo es alcance, interacción o conversión directa.",gimnasio,15000,1151,296,6,2500.0,18,22,42,36,24,sí,51,testimonio,educativo,bajo,"Curado/sintético para SFT; inspirado en datasets públicos de prompts multilingües y texto social en español, no copia filas textuales."
38,guion,"Eres un analista senior de marketing, contenido audiovisual y pauta digital. Responde siempre en español claro, profesional y accionable. No uses JSON. Usa secciones breves: Resumen, Hallazgos, Riesgos, Recomendaciones y Conclusión.","Genera una recomendación de marketing en español para decidir si este video debe pautarse, mejorarse o descartarse.","Analiza un video de YouTube para pauta. Vertical: marca de belleza. Título: campaña con enfoque beneficio inmediato. Descripción: contenido de tono humorístico. Views: 78000. Likes: 2413. Comentarios: 1214. Horas desde publicación: 12. Views por hora: 6500.0. Retención: 31%. Sentimiento positivo: 67%. Sentimiento neutral: 27%. Sentimiento negativo: 6%. OCR text: 'Envío gratis por tiempo limitado'. Relevancia OCR: 12%. CTA visible: no. Composición visual: 58/100. Riesgo de políticas: alto. Transcripción: explica características, aunque falta una promesa más concreta. Palabras frecuentes del público: calidad, precio, envío, atención.","### Resumen

El contenido para **marca de belleza** se considera **no recomendable para pauta hasta corregir riesgos**. El sentimiento dominante es **positivo**, con una composición de 58/100 y una retención de 31%.

### Hallazgos principales

- La tracción temprana es fuerte y puede justificar una prueba rápida de inversión.
- La retención es moderada; hay interés, pero el ritmo o el hook pueden reforzarse.
- La relevancia del texto en pantalla es baja; conviene usar copy visual más claro.
- La composición es funcional, aunque todavía puede ordenarse mejor el foco visual.
- La falta de CTA visible reduce claridad de acción.
- El hook de tipo **beneficio inmediato** puede funcionar si comunica el beneficio en los primeros segundos.

### Riesgos

- Riesgo de políticas: **alto**.
- Sentimiento negativo: 6%, lo que debe revisarse si supera el nivel esperado para la categoría.
- Si el mensaje principal no aparece rápido, la pieza puede perder rendimiento en móvil.

### Recomendaciones

- Reforzar el beneficio principal en el primer tercio del video.
- Mantener el CTA visible durante los segundos de mayor atención.
- Usar el texto en pantalla para resumir promesa, prueba o urgencia, no como elemento decorativo.
- Probar una variante con hook más directo y menor carga visual.
- Si se pauta, iniciar con presupuesto controlado y comparar retención, CTR y comentarios negativos.

### Conclusión

La pieza puede avanzar si se corrigen los puntos débiles detectados. La decisión final debe depender de si el objetivo es alcance, interacción o conversión directa.",marca de belleza,78000,2413,1214,12,6500.0,31,67,27,6,12,no,58,beneficio inmediato,humorístico,alto,"Curado/sintético para SFT; inspirado en datasets públicos de prompts multilingües y texto social en español, no copia filas textuales."
